Model,Refrigerant,Frequency / Rotation,HP,Power Supply,Application,Standard Condition,Tested Conditions,Capacity,Efficiency,Displacement,Motor Type,Starting Torque
EGAS70HLR,R-134a,60 Hz,1/5,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,203,1.58,5.56 cm³,RSIR/CSIR,LST
EGAS70HLR,R-134a,60 Hz,1/5,115-127 V 60 Hz,LBP,ASHRAE,LBP,203,1.58,5.56 cm³,RSIR/CSIR,LST
EGAS70HLR,R-134a,60 Hz,1/5,115-127 V 60 Hz,LBP,ASHRAE,LBP,199,1.54,5.56 cm³,RSIR,LST
EGAS70HLR,R-134a,60 Hz,1/5,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,181,1.43,5.56 cm³,RSIR/CSIR,LST
EGAS70HLR,R-134a,60 Hz,1/5,115-127 V 60 Hz,LBP,ARI 540,LBP,181,1.43,5.56 cm³,RSIR/CSIR,LST
EGAS70HLR,R-134a,60 Hz,1/5,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,176,1.40,5.56 cm³,RSIR,LST
EGAS70HLR,R-134a,60 Hz,1/5,220 V 60 Hz,LBP,ARI 540,LBP,177,1.34,5.56 cm³,CSIR,LST
EGAS70HLR,R-134a,60 Hz,1/5,115-127 V 60 Hz,LBP,ARI 540,LBP,173,1.34,5.56 cm³,RSIR,LST
EGAS70HLR,R-134a,50 Hz,1/5,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,165,1.47,5.56 cm³,RSIR,LST
EGAS70HLR,R-134a,50 Hz,1/5,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,163,1.47,5.56 cm³,RSIR/CSIR,LST
EGAS70HLR,R-134a,50 Hz,1/5,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,146,1.33,5.56 cm³,RSIR/CSIR,LST
EGAS70HLR,R-134a,50 Hz,1/5,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,141,1.27,5.56 cm³,RSIR,LST
EGAS70HLR,R-134a,60 Hz,1/5,115-127 V 60 Hz,LBP,CECOMAF,LBP,140,1.15,5.56 cm³,RSIR,LST
EGAS70HLR,R-134a,60 Hz,1/5,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,EN12900,LBP,105,1.21,5.56 cm³,RSIR,LST
EGAS70HLR,R-134a,60 Hz,1/5,220 V 60 Hz,LBP,EN12900,LBP,106,1.26,5.56 cm³,CSIR,LST
EGAS70HLR,R-134a,60 Hz,1/5,115-127 V 60 Hz,LBP,EN12900,LBP,93,0.92,5.56 cm³,RSIR/CSIR,LST
EGAS70HLR,R-134a,50 Hz,1/5,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,EN12900,LBP,81,1.00,5.56 cm³,RSIR,LST
EGAS80CLP,R-600a,60 Hz,1/4,115-127 V 60 Hz,LBP,ASHRAE,LBP,250,1.65,11.14 cm³,RSIR,LST
EGAS80CLP,R-600a,60 Hz,1/4,220 V 60 Hz,LBP,ASHRAE,LBP,248,1.76,11.14 cm³,RSCR,LST
EGAS80CLP,R-600a,60 Hz,1/4,220 V 50 Hz / 220 V 60 Hz,LBP,ASHRAE,LBP,244,1.64,11.14 cm³,RSIR,LST
EGAS80CLP,R-600a,60 Hz,1/4,220 V 60 Hz,LBP,ASHRAE,LBP,241,1.64,11.14 cm³,RSIR,LST
EGAS80CLP,R-600a,60 Hz,1/4,115-127 V 60 Hz,LBP,ARI 540,LBP,209,1.41,11.14 cm³,RSIR,LST
EGAS80CLP,R-600a,60 Hz,1/4,220 V 60 Hz,LBP,ARI 540,LBP,205,1.50,11.14 cm³,RSCR,LST
EGAS80CLP,R-600a,60 Hz,1/4,220 V 50 Hz / 220 V 60 Hz,LBP,ARI 540,LBP,203,1.39,11.14 cm³,RSIR,LST
EGAS80CLP,R-600a,60 Hz,1/4,220 V 60 Hz,LBP,ARI 540,LBP,202,1.40,11.14 cm³,RSIR,LST
EGAS80CLP,R-600a,50 Hz,1/4,220 V 50 Hz / 220 V 60 Hz,LBP,ASHRAE,LBP,187,1.43,11.14 cm³,RSIR,LST
EGAS80CLP,R-600a,50 Hz,1/4,220 V 50 Hz / 220 V 60 Hz,LBP,ARI 540,LBP,158,1.24,11.14 cm³,RSIR,LST
EGAS80CLP,R-600a,60 Hz,1/4,115-127 V 60 Hz,LBP,EN12900,LBP,134,1.24,11.14 cm³,RSIR,LST
EGAS80CLP,R-600a,60 Hz,1/4,220 V 60 Hz,LBP,EN12900,LBP,129,1.34,11.14 cm³,RSCR,LST
EGAS80CLP,R-600a,60 Hz,1/4,220 V 50 Hz / 220 V 60 Hz,LBP,EN12900,LBP,127,1.24,11.14 cm³,RSIR,LST
EGAS80CLP,R-600a,60 Hz,1/4,220 V 60 Hz,LBP,EN12900,LBP,126,1.26,11.14 cm³,RSIR,LST
EGAS80CLP,R-600a,50 Hz,1/4,220 V 50 Hz / 220 V 60 Hz,LBP,EN12900,LBP,97,1.07,11.14 cm³,RSIR,LST
EGAS80HLP,R-134a,60 Hz,1/4,115-127 V 60 Hz,LBP,ASHRAE,LBP,243,1.53,6.44 cm³,RSIR,LST
EGAS80HLP,R-134a,60 Hz,1/4,220 V 60 Hz,LBP,ASHRAE,LBP,239,1.59,6.36 cm³,RSIR,LST
EGAS80HLP,R-134a,60 Hz,1/4,220 V 60 Hz,LBP,ASHRAE,LBP,234,1.49,6.44 cm³,RSIR,LST
EGAS80HLP,R-134a,60 Hz,1/4,115-127 V 60 Hz,LBP,ARI 540,LBP,209,1.34,6.44 cm³,RSIR,LST
EGAS80HLP,R-134a,60 Hz,1/4,220 V 60 Hz,LBP,ARI 540,LBP,205,1.38,6.36 cm³,RSIR,LST
EGAS80HLP,R-134a,60 Hz,1/4,220 V 60 Hz,LBP,ARI 540,LBP,201,1.30,6.44 cm³,RSIR,LST
EGAS80HLP,R-134a,60 Hz,1/4,220 V 60 Hz,LBP,CECOMAF,LBP,166,1.12,6.44 cm³,RSIR,LST
EGAS80HLP,R-134a,60 Hz,1/4,220 V 60 Hz,LBP,EN12900,LBP,123,1.21,6.36 cm³,RSIR,LST
EGAS80HLP,R-134a,60 Hz,1/4,115-127 V 60 Hz,LBP,EN12900,LBP,122,1.15,6.44 cm³,RSIR,LST
EGAS80HLP,R-134a,60 Hz,1/4,220 V 60 Hz,LBP,EN12900,LBP,121,1.16,6.44 cm³,RSIR,LST
EGAS80HLR,R-134a,60 Hz,1/4,115-127 V 60 Hz,LBP,ASHRAE,LBP,238,1.54,6.36 cm³,RSIR/CSIR,LST
EGAS80HLR,R-134a,60 Hz,1/4,115-127 V 60 Hz,L/MBP,ASHRAE,LBP,243,1.55,6.36 cm³,RSIR,LST
EGAS80HLR,R-134a,60 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,238,1.60,6.36 cm³,RSIR/CSIR,LST
EGAS80HLR,R-134a,60 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,238,1.60,6.44 cm³,RSIR/CSIR,LST
EGAS80HLR,R-134a,60 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,231,1.64,6.36 cm³,RSIR,LST
EGAS80HLR,R-134a,60 Hz,1/4,115-127 V 60 Hz,LBP,ARI 540,LBP,210,1.38,6.36 cm³,RSIR/CSIR,LST
EGAS80HLR,R-134a,60 Hz,1/4,115-127 V 60 Hz,L/MBP,ARI 540,LBP,210,1.36,6.36 cm³,RSIR,LST
EGAS80HLR,R-134a,60 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,210,1.43,6.36 cm³,RSIR/CSIR,LST
EGAS80HLR,R-134a,60 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,210,1.43,6.44 cm³,RSIR/CSIR,LST
EGAS80HLR,R-134a,60 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,202,1.43,6.36 cm³,RSIR,LST
EGAS80HLR,R-134a,50 Hz,1/4,220 V 50 Hz,LBP,ASHRAE,LBP,194,1.48,6.36 cm³,RSIR,LST
EGAS80HLR,R-134a,50 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,193,1.51,6.36 cm³,RSIR/CSIR,LST
EGAS80HLR,R-134a,50 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,193,1.51,6.44 cm³,RSIR/CSIR,LST
EGAS80HLR,R-134a,60 Hz,1/4,115-127 V 60 Hz,LBP,CECOMAF,LBP,172,1.15,6.36 cm³,RSIR/CSIR,LST
EGAS80HLR,R-134a,60 Hz,1/4,115-127 V 60 Hz,L/MBP,CECOMAF,LBP,172,1.15,6.36 cm³,RSIR,LST
EGAS80HLR,R-134a,50 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,170,1.36,6.36 cm³,RSIR/CSIR,LST
EGAS80HLR,R-134a,50 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,170,1.36,6.44 cm³,RSIR/CSIR,LST
EGAS80HLR,R-134a,50 Hz,1/4,220 V 50 Hz,LBP,ARI 540,LBP,165,1.29,6.36 cm³,RSIR,LST
EGAS80HLR,R-134a,60 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,EN12900,LBP,113,0.96,6.36 cm³,RSIR/CSIR,LST
EGAS80HLR,R-134a,60 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,EN12900,LBP,115,1.21,6.36 cm³,RSIR,LST
EGAS80HLR,R-134a,60 Hz,1/4,115-127 V 60 Hz,LBP,EN12900,LBP,113,0.93,6.36 cm³,RSIR/CSIR,LST
EGAS80HLR,R-134a,60 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,EN12900,LBP,113,0.96,6.44 cm³,RSIR/CSIR,LST
EGAS80HLR,R-134a,50 Hz,1/4,220 V 50 Hz,LBP,EN12900,LBP,100,1.11,6.36 cm³,RSIR,LST
EGAS80HLR,R-134a,50 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,EN12900,LBP,91,0.90,6.36 cm³,RSIR/CSIR,LST
EGAS80HLR,R-134a,50 Hz,1/4,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,EN12900,LBP,91,0.90,6.44 cm³,RSIR/CSIR,LST
EGAS90HLR,R-134a,60 Hz,1/3,115-127 V 60 Hz,LBP,ASHRAE,LBP,272,1.62,7.15 cm³,RSIR/CSIR,LST
EGAS90HLR,R-134a,60 Hz,1/3,115-127 V 60 Hz,LBP,ARI 540,LBP,233,1.41,7.15 cm³,RSIR/CSIR,LST
EGAS90HLR,R-134a,50 Hz,1/3,220-240 V 50 Hz,LBP,ASHRAE,LBP,219,1.39,7.15 cm³,RSIR,LST
EGAS90HLR,R-134a,50 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,218,1.50,7.15 cm³,RSIR/CSIR,LST
EGAS90HLR,R-134a,60 Hz,1/3,115-127 V 60 Hz,LBP,CECOMAF,LBP,193,1.22,7.15 cm³,RSIR/CSIR,LST
EGAS90HLR,R-134a,50 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,187,1.34,7.15 cm³,RSIR/CSIR,LST
EGAS90HLR,R-134a,50 Hz,1/3,220-240 V 50 Hz,LBP,ARI 540,LBP,187,1.23,7.15 cm³,RSIR,LST
EGAS90HLR,R-134a,50 Hz,1/3,220-240 V 50 Hz,LBP,EN12900,LBP,114,1.05,7.15 cm³,RSIR,LST
EGAS90HLR,R-134a,50 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,EN12900,LBP,98,0.83,7.15 cm³,RSIR/CSIR,LST
EGD60HLC,R-134a,60 Hz,1/5,115-127 V 60 Hz,LBP,ASHRAE,LBP,177,1.76,5.17 cm³,RSCR,LST
EGD60HLC,R-134a,60 Hz,1/5,115-127 V 60 Hz,LBP,ARI 540,LBP,156,1.54,5.17 cm³,RSCR,LST
EGD60HLC,R-134a,60 Hz,1/5,115-127 V 60 Hz,LBP,CECOMAF,LBP,127,1.36,5.17 cm³,RSCR,LST
EGD60HLC,R-134a,60 Hz,1/5,115-127 V 60 Hz,LBP,EN12900,LBP,89,1.33,5.17 cm³,RSCR,LST
EGD70HLC,R-134a,60 Hz,1/4,115-127 V 60 Hz,LBP,ASHRAE,LBP,199,1.85,5.64 cm³,RSCR,LST
EGD70HLC,R-134a,60 Hz,1/4,115-127 V 60 Hz,LBP,ARI 540,LBP,173,1.61,5.64 cm³,RSCR,LST
EGD70HLC,R-134a,60 Hz,1/4,115-127 V 60 Hz,LBP,EN12900,LBP,104,1.40,5.64 cm³,RSCR,LST
EGD80HLC,R-134a,60 Hz,1/4,115-127 V 60 Hz,LBP,ASHRAE,LBP,237,1.86,6.44 cm³,RSCR,LST
EGD80HLC,R-134a,60 Hz,1/4,115-127 V 60 Hz,LBP,ARI 540,LBP,205,1.62,6.44 cm³,RSCR,LST
EGD80HLC,R-134a,60 Hz,1/4,115-127 V 60 Hz,LBP,EN12900,LBP,124,1.43,6.44 cm³,RSCR,LST
EGU110HLC,R-134a,60 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,322,1.61,9.5 cm³,RSCR,LST
EGU110HLC,R-134a,60 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,284,1.43,9.5 cm³,RSCR,LST
EGU110HLC,R-134a,50 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,274,1.58,9.5 cm³,RSCR,LST
EGU110HLC,R-134a,50 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,239,1.42,9.5 cm³,RSCR,LST
EGU110HLC,R-134a,60 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,EN12900,LBP,151,1.08,9.5 cm³,RSCR,LST
EGU110HLC,R-134a,50 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,EN12900,LBP,132,1.04,9.5 cm³,RSCR,LST
EGUS100HLP,R-134a,60 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,307,1.65,7.95 cm³,RSIR,LST
EGUS100HLP,R-134a,60 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,264,1.47,7.95 cm³,RSIR,LST
EGUS100HLP,R-134a,50 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,250,1.57,7.95 cm³,RSIR,LST
EGUS100HLP,R-134a,50 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,215,1.39,7.95 cm³,RSIR,LST
EGUS100HLP,R-134a,60 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,EN12900,LBP,138,1.02,7.95 cm³,RSIR,LST
EGUS100HLP,R-134a,50 Hz,1/3,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,EN12900,LBP,112,0.96,7.95 cm³,RSIR,LST
EGUS70HLP,R-134a,60 Hz,1/5,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,203,1.64,5.56 cm³,RSIR,LST
EGUS70HLP,R-134a,60 Hz,1/5,115-127 V 60 Hz,LBP,ASHRAE,LBP,203,1.63,5.56 cm³,RSIR,LST
EGUS70HLP,R-134a,60 Hz,1/5,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,181,1.48,5.56 cm³,RSIR,LST
EGUS70HLP,R-134a,60 Hz,1/5,115-127 V 60 Hz,LBP,ARI 540,LBP,181,1.47,5.56 cm³,RSIR,LST
EGUS70HLP,R-134a,50 Hz,1/5,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,163,1.56,5.56 cm³,RSIR,LST
EGUS70HLP,R-134a,50 Hz,1/5,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,146,1.42,5.56 cm³,RSIR,LST
EGUS70HLP,R-134a,60 Hz,1/5,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,EN12900,LBP,93,0.95,5.56 cm³,RSIR,LST
EGUS70HLP,R-134a,60 Hz,1/5,115-127 V 60 Hz,LBP,EN12900,LBP,93,0.94,5.56 cm³,RSIR,LST
