Model,Refrigerant,Frequency / Rotation,HP,Power Supply,Application,Standard Condition,Tested Conditions,Capacity,Efficiency,Displacement,Motor Type,Starting Torque 
EMD32CLT,R-600a,50 Hz,1/10,220-240 V 50 Hz,LBP,ARI 540,LBP,83,1.51,6.2 cm³,RSCR,LST
EMD32CLT,R-600a,50 Hz,1/7,220-240 V 50 Hz,LBP,ARI 540,LBP,79,1.63,5.96 cm³,RSCR,LST
EMD32CLT,R-600a,50 Hz,1/10,220-240 V 50 Hz,LBP,CECOMAF,LBP,72,1.47,6.2 cm³,RSCR,LST
EMD32CLT,R-600a,50 Hz,1/7,220-240 V 50 Hz,LBP,CECOMAF,LBP,68,1.46,5.96 cm³,RSCR,LST
EMD32CLT,R-600a,50 Hz,1/10,220-240 V 50 Hz,LBP,EN12900,LBP,53,1.67,6.2 cm³,RSCR,LST
EMD40CLT,R-600a,50 Hz,1/8,220-240 V 50 Hz,LBP,ASHRAE,LBP,119,1.92,7.51 cm³,RSCR,LST
EMD40CLT,R-600a,50 Hz,1/8,220-240 V 50 Hz,LBP,ASHRAE,LBP,119,1.90,7.23 cm³,RSCR,LST
EMD40CLT,R-600a,50 Hz,1/8,220-240 V 50 Hz,LBP,ARI 540,LBP,102,1.68,7.51 cm³,RSCR,LST
EMD40CLT,R-600a,50 Hz,1/8,220-240 V 50 Hz,LBP,ARI 540,LBP,102,1.68,7.23 cm³,RSCR,LST
EMD40CLT,R-600a,50 Hz,1/8,220-240 V 50 Hz,LBP,CECOMAF,LBP,88,1.51,7.51 cm³,RSCR,LST
EMD40CLT,R-600a,50 Hz,1/8,220-240 V 50 Hz,LBP,CECOMAF,LBP,88,1.51,7.23 cm³,RSCR,LST
EMD40CLT,R-600a,50 Hz,1/8,220-240 V 50 Hz,LBP,EN12900,LBP,62,1.46,7.51 cm³,RSCR,LST
EMD40CLT,R-600a,50 Hz,1/8,220-240 V 50 Hz,LBP,EN12900,LBP,62,1.46,7.23 cm³,RSCR,LST
EMD46CLT,R-600a,50 Hz,1/7,220-240 V 50 Hz,LBP,ASHRAE,LBP,132,1.90,7.96 cm³,RSCR,LST
EMD46CLT,R-600a,50 Hz,1/7,220-240 V 50 Hz,LBP,ARI 540,LBP,113,1.64,7.96 cm³,RSCR,LST
EMD46CLT,R-600a,50 Hz,1/7,220-240 V 50 Hz,LBP,CECOMAF,LBP,98,1.49,7.96 cm³,RSCR,LST
EMD46CLT,R-600a,50 Hz,1/7,220-240 V 50 Hz,LBP,EN12900,LBP,69,1.49,7.96 cm³,RSCR,LST
EMD55CLT,R-600a,60 Hz,1/8,115-127 V 60 Hz,LBP,ASHRAE,LBP,181,1.87,9.04 cm³,RSCR,LST
EMD55CLT,R-600a,50 Hz,1/5,220-240 V 50 Hz,LBP,ASHRAE,LBP,157,1.85,9.04 cm³,RSCR,LST
EMD55CLT,R-600a,60 Hz,1/8,115-127 V 60 Hz,LBP,ARI 540,LBP,154,1.60,9.04 cm³,RSCR,LST
EMD55CLT,R-600a,50 Hz,1/5,220-240 V 50 Hz,LBP,ARI 540,LBP,132,1.57,9.04 cm³,RSCR,LST
EMD55CLT,R-600a,60 Hz,1/8,115-127 V 60 Hz,LBP,EN12900,LBP,93,1.33,9.04 cm³,RSCR,LST
EMD55CLT,R-600a,50 Hz,1/5,220-240 V 50 Hz,LBP,EN12900,LBP,78,1.34,9.04 cm³,RSCR,LST
EMD66CLT,R-600a,50 Hz,1/5,220-240 V 50 Hz,LBP,ASHRAE,LBP,182,1.93,10.61 cm³,RSCR,LST
EMD66CLT,R-600a,50 Hz,1/5,220-240 V 50 Hz,LBP,ARI 540,LBP,154,1.67,10.61 cm³,RSCR,LST
EMD66CLT,R-600a,50 Hz,1/5,220-240 V 50 Hz,LBP,CECOMAF,LBP,136,1.52,10.61 cm³,RSCR,LST
EMD66CLT,R-600a,50 Hz,1/5,220-240 V 50 Hz,LBP,EN12900,LBP,95,1.47,10.61 cm³,RSCR,LST
EMD80CLT,R-600a,50 Hz,1/5,220-240 V 50 Hz,LBP,ASHRAE,LBP,213,1.87,12.21 cm³,RSCR,LST
EMD80CLT,R-600a,50 Hz,1/4,220-240 V 50 Hz,LBP,ASHRAE,LBP,213,1.87,12.21 cm³,RSCR,LST
EMD80CLT,R-600a,50 Hz,1/4,220-240 V 50 Hz,LBP,ARI 540,LBP,181,1.61,12.21 cm³,RSCR,LST
EMD80CLT,R-600a,50 Hz,1/5,220-240 V 50 Hz,LBP,ARI 540,LBP,180,1.60,12.21 cm³,RSCR,LST
EMD80CLT,R-600a,50 Hz,1/5,220-240 V 50 Hz,LBP,CECOMAF,LBP,160,1.47,12.21 cm³,RSCR,LST
EMD80CLT,R-600a,50 Hz,1/4,220-240 V 50 Hz,LBP,EN12900,LBP,112,1.49,12.21 cm³,RSCR,LST
EMD80CLT,R-600a,50 Hz,1/5,220-240 V 50 Hz,LBP,EN12900,LBP,112,1.46,12.21 cm³,RSCR,LST
EME20CLT,R-600a,50 Hz,1/14,220-240 V 50 Hz,LBP,ASHRAE,LBP,66,1.86,3.97 cm³,RSCR,LST
EME20CLT,R-600a,50 Hz,1/14,220-240 V 50 Hz,LBP,ARI 540,LBP,56,1.51,3.97 cm³,RSCR,LST
EME20CLT,R-600a,50 Hz,1/14,220-240 V 50 Hz,LBP,CECOMAF,LBP,48,1.50,3.97 cm³,RSCR,LST
EME20CLT,R-600a,50 Hz,1/14,220-240 V 50 Hz,LBP,EN12900,LBP,36,1.98,3.97 cm³,RSCR,LST
EME32CLT,R-600a,50 Hz,1/10,220-240 V 50 Hz,LBP,ASHRAE,LBP,98,1.93,6.2 cm³,RSCR,LST
EME32CLT,R-600a,50 Hz,1/10,220-240 V 50 Hz,LBP,ARI 540,LBP,83,1.60,6.2 cm³,RSCR,LST
EME32CLT,R-600a,50 Hz,1/10,220-240 V 50 Hz,LBP,CECOMAF,LBP,72,1.55,6.2 cm³,RSCR,LST
EME32CLT,R-600a,50 Hz,1/10,220-240 V 50 Hz,LBP,EN12900,LBP,53,1.86,6.2 cm³,RSCR,LST
EME46CLT,R-600a,50 Hz,1/7,220-240 V 50 Hz,LBP,ASHRAE,LBP,131,1.86,7.96 cm³,RSCR,LST
EME46CLT,R-600a,50 Hz,-,220-240 V 50 Hz,LBP,ASHRAE,LBP,131,1.86,7.96 cm³,RSCR,LST
EME46CLT,R-600a,50 Hz,1/7,220-240 V 50 Hz,LBP,ARI 540,LBP,110,1.56,7.96 cm³,RSCR,LST
EME46CLT,R-600a,50 Hz,-,220-240 V 50 Hz,LBP,ARI 540,LBP,110,1.56,7.96 cm³,RSCR,LST
EME46CLT,R-600a,50 Hz,1/7,220-240 V 50 Hz,LBP,CECOMAF,LBP,96,1.49,7.96 cm³,RSCR,LST
EME46CLT,R-600a,50 Hz,-,220-240 V 50 Hz,LBP,CECOMAF,LBP,96,1.49,7.96 cm³,RSCR,LST
EME46CLT,R-600a,50 Hz,1/7,220-240 V 50 Hz,LBP,EN12900,LBP,69,1.76,7.96 cm³,RSCR,LST
EME46CLT,R-600a,50 Hz,-,220-240 V 50 Hz,LBP,EN12900,LBP,69,1.76,7.96 cm³,RSCR,LST
EME60HER,R-134a,60 Hz,1/6,115-127 V 60 Hz,LBP,ASHRAE,LBP,187,1.52,4.99 cm³,RSIR,LST
EME60HER,R-134a,60 Hz,1/6,115-127 V 60 Hz,LBP,ARI 540,LBP,162,1.37,4.99 cm³,RSIR,LST
EME60HER,R-134a,60 Hz,1/6,115-127 V 60 Hz,LBP,EN12900,LBP,95,1.02,4.99 cm³,RSIR,LST
EMH60HER,R-134a,60 Hz,1/4,115-127 V 60 Hz,LBP,ASHRAE,LBP,189,1.49,5.19 cm³,RSIR,LST
EMH60HER,R-134a,60 Hz,1/4,115-127 V 60 Hz,LBP,ARI 540,LBP,164,1.32,5.19 cm³,RSIR,LST
EMH60HER,R-134a,60 Hz,1/4,115-127 V 60 Hz,LBP,EN12900,LBP,83,0.84,5.19 cm³,RSIR,LST
EMI28HER,R-134a,60 Hz,1/10,115-127 V 60 Hz,LBP,ASHRAE,LBP,83,1.18,3 cm³,RSIR/CSIR,LST
EMI28HER,R-134a,60 Hz,1/10,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,83,1.18,3 cm³,RSIR/CSIR,LST
EMI28HER,R-134a,60 Hz,1/10,115-127 V 60 Hz,LBP,ARI 540,LBP,76,1.09,3 cm³,RSIR/CSIR,LST
EMI28HER,R-134a,60 Hz,1/10,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,76,1.09,3 cm³,RSIR/CSIR,LST
EMI28HER,R-134a,50 Hz,1/10,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,73,1.20,3 cm³,RSIR/CSIR,LST
EMI28HER,R-134a,50 Hz,1/10,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,65,1.09,3 cm³,RSIR/CSIR,LST
EMI28HER,R-134a,60 Hz,1/10,115-127 V 60 Hz,LBP,EN12900,LBP,38,0.60,3 cm³,RSIR/CSIR,LST
EMI28HER,R-134a,60 Hz,1/10,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,EN12900,LBP,38,0.60,3 cm³,RSIR/CSIR,LST
EMI28HER,R-134a,50 Hz,1/10,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,EN12900,LBP,29,0.45,3 cm³,RSIR/CSIR,LST
EMI30CNP,R-600a,60 Hz,1/10,220 V 50 Hz / 220 V 60 Hz,L/MBP,ASHRAE,LBP,85,1.02,4.99 cm³,RSIR,LST
EMI30CNP,R-600a,60 Hz,1/10,220 V 50 Hz / 220 V 60 Hz,L/MBP,ARI 540,LBP,73,0.90,4.99 cm³,RSIR,LST
EMI30CNP,R-600a,50 Hz,1/10,220 V 50 Hz / 220 V 60 Hz,L/MBP,ASHRAE,LBP,70,0.98,4.99 cm³,RSIR,LST
EMI30CNP,R-600a,50 Hz,1/10,220 V 50 Hz / 220 V 60 Hz,L/MBP,ARI 540,LBP,61,0.88,4.99 cm³,RSIR,LST
EMI30CNP,R-600a,60 Hz,1/10,220 V 50 Hz / 220 V 60 Hz,L/MBP,EN12900,LBP,33,0.46,4.99 cm³,RSIR,LST
EMI30CNP,R-600a,50 Hz,1/10,220 V 50 Hz / 220 V 60 Hz,L/MBP,EN12900,LBP,28,0.42,4.99 cm³,RSIR,LST
EMI30ER,Blend (R401A. R401B. R409A. R413A),60 Hz,1/10,115-127 V 60 Hz,LBP,ASHRAE,LBP,99,1.21,3 cm³,RSIR/CSIR,LST
EMI30ER,Blend (R401A. R401B. R409A. R413A),60 Hz,1/10,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,99,1.21,3 cm³,RSIR/CSIR,LST
EMI30ER,Blend (R401A. R401B. R409A. R413A),60 Hz,1/10,115-127 V 60 Hz,LBP,ARI 540,LBP,94,1.15,3 cm³,RSIR/CSIR,LST
EMI30ER,Blend (R401A. R401B. R409A. R413A),60 Hz,1/10,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,94,1.15,3 cm³,RSIR/CSIR,LST
EMI30ER,Blend (R401A. R401B. R409A. R413A),50 Hz,1/10,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,84,1.18,3 cm³,RSIR/CSIR,LST
EMI30ER,Blend (R401A. R401B. R409A. R413A),50 Hz,1/10,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,78,1.13,3 cm³,RSIR/CSIR,LST
EMI30ER,Blend (R401A. R401B. R409A. R413A),60 Hz,1/10,115-127 V 60 Hz,LBP,EN12900,LBP,55,0.80,3 cm³,RSIR/CSIR,LST
EMI30ER,Blend (R401A. R401B. R409A. R413A),60 Hz,1/10,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,EN12900,LBP,55,0.80,3 cm³,RSIR/CSIR,LST
EMI30ER,Blend (R401A. R401B. R409A. R413A),50 Hz,1/10,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,EN12900,LBP,30,0.48,3 cm³,RSIR/CSIR,LST
EMI30HER,R-134a,60 Hz,1/10,115-127 V 60 Hz,LBP,ASHRAE,LBP,93,1.19,3 cm³,RSIR/CSIR,LST
EMI30HER,R-134a,60 Hz,1/10,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,93,1.19,3 cm³,RSIR/CSIR,LST
EMI30HER,R-134a,60 Hz,1/10,115-127 V 60 Hz,L/MBP,ASHRAE,LBP,89,1.21,3 cm³,CSIR,LST
EMI30HER,R-134a,60 Hz,1/10,115-127 V 60 Hz,LBP,ARI 540,LBP,83,1.09,3 cm³,RSIR/CSIR,LST
EMI30HER,R-134a,60 Hz,1/10,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,83,1.09,3 cm³,RSIR/CSIR,LST
EMI30HER,R-134a,60 Hz,1/10,115-127 V 60 Hz,L/MBP,ARI 540,LBP,80,1.11,3 cm³,CSIR,LST
EMI30HER,R-134a,50 Hz,1/10,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,76,1.13,3 cm³,RSIR/CSIR,LST
EMI30HER,R-134a,50 Hz,1/10,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,68,1.03,3 cm³,RSIR/CSIR,LST
EMI30HER,R-134a,60 Hz,1/10,115-127 V 60 Hz,L/MBP,EN12900,LBP,49,0.79,3 cm³,CSIR,LST
EMI30HER,R-134a,60 Hz,1/10,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,EN12900,LBP,39,0.58,3 cm³,RSIR/CSIR,LST
EMI30HER,R-134a,50 Hz,1/10,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,EN12900,LBP,32,0.47,3 cm³,RSIR/CSIR,LST
EMI30HEX,R-134a,60 Hz,1/10,115-127 V 60 Hz,L/MBP,ASHRAE,LBP,89,1.21,3 cm³,CSIR,HST
EMI30HEX,R-134a,60 Hz,1/10,115-127 V 60 Hz,L/MBP,ARI 540,LBP,81,1.11,3 cm³,CSIR,HST
EMI30HEX,R-134a,60 Hz,1/10,115-127 V 60 Hz,L/MBP,EN12900,LBP,48,0.78,3 cm³,CSIR,HST
EMI32CLP,R-600a,50 Hz,1/7,220-240 V 50 Hz,LBP,ASHRAE,LBP,96,1.19,5.96 cm³,RSIR,LST
EMI32CLP,R-600a,50 Hz,1/7,220-240 V 50 Hz,LBP,ARI 540,LBP,81,1.03,5.96 cm³,RSIR,LST
EMI32CLP,R-600a,50 Hz,1/7,220-240 V 50 Hz,LBP,EN12900,LBP,47,0.80,5.96 cm³,RSIR,LST
EMI40CNC,R-600a,60 Hz,1/8,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,126,1.30,6.36 cm³,RSCR,LST
EMI40CNC,R-600a,60 Hz,1/8,115-127 V 60 Hz,LBP,ASHRAE,LBP,126,1.32,6.36 cm³,RSCR,LST
EMI40CNC,R-600a,60 Hz,1/8,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,107,1.11,6.36 cm³,RSCR,LST
EMI40CNC,R-600a,60 Hz,1/8,115-127 V 60 Hz,LBP,ARI 540,LBP,107,1.15,6.36 cm³,RSCR,LST
EMI40CNC,R-600a,50 Hz,1/8,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,105,1.24,6.36 cm³,RSCR,LST
EMI40CNC,R-600a,50 Hz,1/8,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,90,1.09,6.36 cm³,RSCR,LST
EMI40CNC,R-600a,50 Hz,1/8,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,CECOMAF,LBP,78,0.96,6.36 cm³,RSCR,LST
EMI40CNC,R-600a,60 Hz,1/8,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,EN12900,LBP,63,0.87,6.36 cm³,RSCR,LST
EMI40CNC,R-600a,60 Hz,1/8,115-127 V 60 Hz,LBP,EN12900,LBP,54,0.66,6.36 cm³,RSCR,LST
EMI40CNC,R-600a,50 Hz,1/8,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,EN12900,LBP,53,0.80,6.36 cm³,RSCR,LST
EMI40CNP,R-600a,60 Hz,1/8,220 V 50 Hz / 220 V 60 Hz,L/MBP,ASHRAE,LBP,121,1.22,6.36 cm³,RSIR,LST
EMI40CNP,R-600a,60 Hz,1/8,220 V 50 Hz / 220 V 60 Hz,L/MBP,ARI 540,LBP,104,1.09,6.36 cm³,RSIR,LST
EMI40CNP,R-600a,50 Hz,1/8,220 V 50 Hz / 220 V 60 Hz,L/MBP,ASHRAE,LBP,100,1.15,6.36 cm³,RSIR,LST
EMI40CNP,R-600a,50 Hz,1/8,220 V 50 Hz / 220 V 60 Hz,L/MBP,ARI 540,LBP,87,1.04,6.36 cm³,RSIR,LST
EMI40CNP,R-600a,60 Hz,1/8,220 V 50 Hz / 220 V 60 Hz,L/MBP,EN12900,LBP,58,0.66,6.36 cm³,RSIR,LST
EMI40CNP,R-600a,50 Hz,1/8,220 V 50 Hz / 220 V 60 Hz,L/MBP,EN12900,LBP,52,0.65,6.36 cm³,RSIR,LST
EMI40HNR,R-134a,60 Hz,1/10,115-127 V 60 Hz,LBP,ASHRAE,LBP,109,1.20,3.77 cm³,RSIR/CSIR,LST
EMI40HNR,R-134a,60 Hz,1/10,115-127 V 60 Hz,LBP,ARI 540,LBP,99,1.11,3.77 cm³,RSIR/CSIR,LST
EMI40HNR,R-134a,60 Hz,1/10,115-127 V 60 Hz,LBP,EN12900,LBP,50,0.66,3.77 cm³,RSIR/CSIR,LST
EMI45ER,Blend (R401A. R401B. R409A. R413A),60 Hz,1/8,115-127 V 60 Hz,LBP,ASHRAE,LBP,137,1.31,3.77 cm³,RSIR,LST
EMI45ER,Blend (R401A. R401B. R409A. R413A),60 Hz,1/8,115-127 V 60 Hz,LBP,ARI 540,LBP,125,1.23,3.77 cm³,RSIR,LST
EMI45ER,Blend (R401A. R401B. R409A. R413A),60 Hz,1/8,115-127 V 60 Hz,LBP,EN12900,LBP,64,0.72,3.77 cm³,RSIR,LST
EMI45HEP,R-134a,50 Hz,1/8,220-240 V 50 Hz,LBP,ASHRAE,LBP,104,1.11,3.77 cm³,RSIR,LST
EMI45HEP,R-134a,50 Hz,1/8,220-240 V 50 Hz,LBP,ARI 540,LBP,91,0.98,3.77 cm³,RSIR,LST
EMI45HEP,R-134a,50 Hz,1/8,220-240 V 50 Hz,LBP,EN12900,LBP,56,0.80,3.77 cm³,RSIR,LST
EMI45HER,R-134a,60 Hz,1/8,115 V 60 Hz,LBP,ASHRAE,LBP,127,1.27,4.08 cm³,RSIR,LST
EMI45HER,R-134a,60 Hz,1/8,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,124,1.29,3.77 cm³,RSIR,LST
EMI45HER,R-134a,60 Hz,1/8,115-127 V 60 Hz,LBP,ASHRAE,LBP,124,1.27,3.77 cm³,RSIR,LST
EMI45HER,R-134a,60 Hz,1/8,115 V 60 Hz,LBP,ARI 540,LBP,113,1.14,4.08 cm³,RSIR,LST
EMI45HER,R-134a,60 Hz,1/8,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,110,1.17,3.77 cm³,RSIR,LST
EMI45HER,R-134a,60 Hz,1/8,115-127 V 60 Hz,LBP,ARI 540,LBP,110,1.17,3.77 cm³,RSIR,LST
EMI45HER,R-134a,50 Hz,1/8,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,102,1.22,3.77 cm³,RSIR,LST
EMI45HER,R-134a,50 Hz,1/8,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,89,1.10,3.77 cm³,RSIR,LST
EMI45HER,R-134a,60 Hz,1/8,115 V 60 Hz,LBP,EN12900,LBP,57,0.69,4.08 cm³,RSIR,LST
EMI45HER,R-134a,60 Hz,1/8,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,EN12900,LBP,56,0.74,3.77 cm³,RSIR,LST
EMI45HER,R-134a,60 Hz,1/8,115-127 V 60 Hz,LBP,EN12900,LBP,56,0.66,3.77 cm³,RSIR,LST
EMI45HER,R-134a,50 Hz,1/8,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,EN12900,LBP,48,0.66,3.77 cm³,RSIR,LST
EMI50HER,R-134a,60 Hz,1/6,115 V 60 Hz,LBP,ASHRAE,LBP,152,1.27,4.99 cm³,RSIR,LST
EMI50HER,R-134a,60 Hz,1/6,115 V 60 Hz,LBP,ARI 540,LBP,135,1.15,4.99 cm³,RSIR,LST
EMI50HER,R-134a,60 Hz,1/6,115 V 60 Hz,LBP,EN12900,LBP,72,0.86,4.99 cm³,RSIR,LST
EMI50UER,R-290,60 Hz,1/6,115-127 V 60 Hz,L/MBP,ASHRAE,LBP,153,1.38,3 cm³,RSIR/CSIR,LST
EMI50UER,R-290,60 Hz,1/6,115-127 V 60 Hz,L/MBP,ARI 540,LBP,132,1.21,3 cm³,RSIR/CSIR,LST
EMI50UER,R-290,60 Hz,1/6,115-127 V 60 Hz,L/MBP,EN12900,LBP,86,1.07,3 cm³,RSIR/CSIR,LST
EMI55ER,Blend (R401A. R401B. R409A. R413A),60 Hz,1/6,115-127 V 60 Hz,LBP,ASHRAE,LBP,163,1.31,4.6 cm³,RSIR/CSIR,LST
EMI55ER,Blend (R401A. R401B. R409A. R413A),60 Hz,1/6,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,163,1.31,4.6 cm³,RSIR/CSIR,LST
EMI55ER,Blend (R401A. R401B. R409A. R413A),60 Hz,1/6,115-127 V 60 Hz,LBP,ARI 540,LBP,149,1.22,4.6 cm³,RSIR/CSIR,LST
EMI55ER,Blend (R401A. R401B. R409A. R413A),60 Hz,1/6,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,149,1.22,4.6 cm³,RSIR/CSIR,LST
EMI55ER,Blend (R401A. R401B. R409A. R413A),50 Hz,1/6,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ASHRAE,LBP,137,1.27,4.6 cm³,RSIR/CSIR,LST
EMI55ER,Blend (R401A. R401B. R409A. R413A),50 Hz,1/6,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,ARI 540,LBP,122,1.17,4.6 cm³,RSIR/CSIR,LST
EMI55ER,Blend (R401A. R401B. R409A. R413A),60 Hz,1/6,115-127 V 60 Hz,LBP,EN12900,LBP,80,0.84,4.6 cm³,RSIR/CSIR,LST
EMI55ER,Blend (R401A. R401B. R409A. R413A),60 Hz,1/6,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,EN12900,LBP,80,0.84,4.6 cm³,RSIR/CSIR,LST
EMI55ER,Blend (R401A. R401B. R409A. R413A),50 Hz,1/6,220-240 V 50 Hz / 220-240 V 60 Hz,LBP,EN12900,LBP,66,0.78,4.6 cm³,RSIR/CSIR,LST
EMI55HER,R-134a,60 Hz,1/6,115-127 V 60 Hz,LBP,ASHRAE,LBP,148,1.30,4.6 cm³,RSIR/CSIR,LST
EMI55HER,R-134a,60 Hz,1/6,220 V 50 Hz / 220 V 60 Hz,LBP,ASHRAE,LBP,148,1.29,4.6 cm³,RSIR/CSIR,LST
EMI55HER,R-134a,60 Hz,1/6,220 V 50 Hz / 220 V 60 Hz,LBP,ARI 540,LBP,132,1.18,4.6 cm³,RSIR/CSIR,LST
EMI55HER,R-134a,60 Hz,1/6,115-127 V 60 Hz,LBP,ARI 540,LBP,131,1.18,4.6 cm³,RSIR/CSIR,LST
EMI55HER,R-134a,50 Hz,1/6,220 V 50 Hz / 220 V 60 Hz,LBP,ASHRAE,LBP,128,1.25,4.6 cm³,RSIR/CSIR,LST
EMI55HER,R-134a,50 Hz,1/6,220 V 50 Hz / 220 V 60 Hz,LBP,ARI 540,LBP,110,1.12,4.6 cm³,RSIR/CSIR,LST
EMI55HER,R-134a,60 Hz,1/6,115-127 V 60 Hz,LBP,EN12900,LBP,72,0.81,4.6 cm³,RSIR/CSIR,LST
EMI55HER,R-134a,60 Hz,1/6,220 V 50 Hz / 220 V 60 Hz,LBP,EN12900,LBP,72,0.80,4.6 cm³,RSIR/CSIR,LST
EMI55HER,R-134a,50 Hz,1/6,220 V 50 Hz / 220 V 60 Hz,LBP,EN12900,LBP,60,0.73,4.6 cm³,RSIR/CSIR,LST
EMI60HEP,R-134a,60 Hz,1/6,100 V 50 Hz / 100 V 60 Hz,LBP,ASHRAE,LBP,163,1.22,4.99 cm³,RSIR,LST
EMI60HEP,R-134a,60 Hz,1/6,100 V 50 Hz / 100 V 60 Hz,LBP,ARI 540,LBP,143,1.10,4.99 cm³,RSIR,LST
EMI60HEP,R-134a,50 Hz,1/6,100 V 50 Hz / 100 V 60 Hz,LBP,ASHRAE,LBP,133,1.14,4.99 cm³,RSIR,LST
EMI60HEP,R-134a,50 Hz,1/6,100 V 50 Hz / 100 V 60 Hz,LBP,ARI 540,LBP,117,1.04,4.99 cm³,RSIR,LST
EMI60HEP,R-134a,60 Hz,1/6,100 V 50 Hz / 100 V 60 Hz,LBP,EN12900,LBP,75,0.72,4.99 cm³,RSIR,LST
EMI60HEP,R-134a,50 Hz,1/6,100 V 50 Hz / 100 V 60 Hz,LBP,EN12900,LBP,62,0.62,4.99 cm³,RSIR,LST
EMI60HER,R-134a,60 Hz,1/6,115-127 V 60 Hz,LBP,ASHRAE,LBP,169,1.26,4.99 cm³,RSIR/CSIR,LST
EMI60HER,R-134a,60 Hz,1/6,220 V 50 Hz / 220 V 60 Hz,LBP,ASHRAE,LBP,169,1.26,4.99 cm³,RSIR/CSIR,LST
EMI60HER,R-134a,60 Hz,1/6,115-127 V 60 Hz,LBP,ARI 540,LBP,149,1.14,4.99 cm³,RSIR/CSIR,LST
EMI60HER,R-134a,60 Hz,1/6,220 V 50 Hz / 220 V 60 Hz,LBP,ARI 540,LBP,149,1.15,4.99 cm³,RSIR/CSIR,LST
EMI60HER,R-134a,50 Hz,1/6,220 V 50 Hz / 220 V 60 Hz,LBP,ASHRAE,LBP,137,1.17,4.99 cm³,RSIR/CSIR,LST
EMI60HER,R-134a,50 Hz,1/6,220 V 50 Hz / 220 V 60 Hz,LBP,ARI 540,LBP,121,1.06,4.99 cm³,RSIR/CSIR,LST
EMI60HER,R-134a,60 Hz,1/6,115-127 V 60 Hz,LBP,EN12900,LBP,77,0.71,4.99 cm³,RSIR/CSIR,LST
EMI60HER,R-134a,60 Hz,1/6,220 V 50 Hz / 220 V 60 Hz,LBP,EN12900,LBP,77,0.73,4.99 cm³,RSIR/CSIR,LST
EMI60HER,R-134a,50 Hz,1/6,220 V 50 Hz / 220 V 60 Hz,LBP,EN12900,LBP,65,0.64,4.99 cm³,RSIR/CSIR,LST
EMI70HER,R-134a,60 Hz,1/5,115-127 V 60 Hz,LBP,ASHRAE,LBP,205,1.31,5.89 cm³,RSIR/CSIR,LST
EMI70HER,R-134a,60 Hz,1/5,220 V 60 Hz,LBP,ASHRAE,LBP,205,1.33,5.89 cm³,RSIR,LST
EMI70HER,R-134a,60 Hz,1/5,115-127 V 60 Hz,LBP,ARI 540,LBP,179,1.18,5.89 cm³,RSIR/CSIR,LST
EMI70HER,R-134a,60 Hz,1/5,220 V 60 Hz,LBP,ARI 540,LBP,179,1.21,5.89 cm³,RSIR,LST
EMI70HER,R-134a,50 Hz,1/5,220 V 50 Hz,LBP,ASHRAE,LBP,165,1.19,5.89 cm³,RSIR/CSIR,LST
